0, 4000000, 0.211 
1, 512, 0.345 
0, 5500000, 0.505 
2, 20, 0.022 
0, 4000000, 0.087 
1, 128, 0.136 
1, 512, 0.201 
0, 8500000, 0.062 
0, 1000000, 0.031 
1, 10, 0.043 
0, 2500000, 0.184 
1, 4096, 0.014 
1, 128, 0.233 
2, 40, 0.124 
0, 5500000, 0.278 
2, 40, 0.279 
0, 2500000, 0.451 
0, 1000000, 0.191 
2, 80, 0.156 
2, 160, 0.082 
1, 256, 0.190 
0, 8500000, 0.033 
0, 7000000, 0.118 
2, 20, 0.037 
0, 1000000, 0.066 
0, 2500000, 0.527 
2, 320, 0.050 
2, 40, 0.089 
2, 80, 0.099 
2, 20, 0.130 
0, 5500000, 0.066 
2, 80, 0.243 
2, 160, 0.473 
2, 320, 0.038 
2, 40, 0.538 
2, 40, 0.399 
0, 1000000, 0.025 
0, 1000000, 0.040 
1, 1, 0.195 
0, 7000000, 0.269 
0, 8500000, 0.056 
2, 20, 0.479 
2, 20, 0.210 
2, 160, 0.407 
2, 80, 0.075 
1, 10, 0.313 
0, 1000000, 0.082 
1, 512, 0.454 
0, 8500000, 0.093 
2, 40, 0.042 
2, 20, 0.516 
0, 5500000, 0.051 
0, 2500000, 0.015 
1, 256, 0.461 
2, 80, 0.343 
1, 128, 0.585 
0, 8500000, 0.333 
0, 4000000, 0.092 
0, 2500000, 0.354 
0, 2500000, 0.313 
2, 40, 0.495 
0, 1000000, 0.057 
0, 1000000, 0.176 
2, 40, 0.045 
2, 160, 0.393 
2, 160, 0.015 
0, 7000000, 0.170 
2, 160, 0.125 
0, 7000000, 0.106 
0, 8500000, 0.843 
2, 20, 0.170 
2, 160, 0.039 
0, 2500000, 0.100 
0, 7000000, 0.450 
0, 8500000, 0.036 
0, 7000000, 0.085 
2, 10, 0.049 
2, 10, 0.271 
2, 40, 0.070 
0, 4000000, 0.093 
2, 40, 0.000 
0, 5500000, 0.191 
2, 320, 0.057 
0, 2500000, 0.094 
2, 160, 0.049 
2, 80, 0.128 
0, 4000000, 0.088 
2, 40, 0.806 
2, 160, 0.092 
0, 7000000, 0.790 
2, 10, 0.172 
1, 4096, 0.148 
1, 1, 0.218 
1, 256, 0.030 
2, 80, 0.018 
0, 7000000, 0.017 
2, 40, 1.400 
2, 160, 0.463 
0, 7000000, 0.142 
0, 4000000, 0.473 
0, 8500000, 0.064 
0, 7000000, 0.278 
0, 1000000, 0.410 
2, 10, 0.193 
0, 7000000, 0.229 
2, 320, 0.003 
1, 4096, 0.011 
0, 2500000, 0.279 
2, 10, 0.651 
