0, 8500000, 43.137 
2, 20, 72.491 
2, 320, 4.159 
2, 40, 9.153 
2, 20, 33.223 
0, 8500000, 3.489 
1, 10, 10.633 
1, 1024, 3.385 
0, 5500000, 72.462 
2, 320, 0.167 
1, 4096, 123.536 
0, 4000000, 30.096 
2, 160, 29.342 
1, 10, 52.485 
0, 4000000, 0.812 
0, 4000000, 23.742 
1, 4096, 8.197 
2, 10, 40.449 
2, 80, 34.980 
1, 256, 25.244 
2, 40, 180.522 
1, 10, 41.235 
2, 80, 46.054 
2, 40, 32.338 
1, 4096, 106.887 
0, 8500000, 79.474 
2, 160, 139.065 
2, 80, 15.300 
0, 4000000, 45.248 
1, 4096, 12.016 
0, 4000000, 96.682 
2, 40, 57.841 
2, 320, 11.379 
1, 512, 5.477 
1, 1, 201.497 
2, 40, 3.534 
2, 320, 4.220 
2, 10, 19.507 
1, 10, 8.905 
1, 128, 17.146 
2, 10, 33.050 
1, 1024, 90.892 
0, 8500000, 56.641 
1, 256, 21.393 
0, 4000000, 10.113 
1, 512, 13.034 
1, 1024, 1.073 
2, 320, 16.637 
2, 80, 18.130 
2, 80, 44.049 
2, 40, 155.925 
0, 1000000, 36.498 
1, 2048, 73.833 
2, 10, 11.225 
0, 4000000, 41.178 
1, 512, 68.178 
1, 4096, 53.857 
2, 40, 13.933 
1, 10, 29.028 
2, 80, 43.821 
0, 1000000, 94.343 
2, 10, 19.929 
0, 1000000, 99.269 
2, 320, 83.542 
2, 40, 53.925 
0, 4000000, 6.062 
1, 128, 50.252 
2, 40, 56.537 
0, 5500000, 37.857 
0, 2500000, 0.203 
1, 10, 30.729 
0, 7000000, 47.974 
1, 10, 92.011 
0, 4000000, 3.359 
2, 20, 29.718 
0, 8500000, 27.119 
0, 7000000, 42.118 
0, 4000000, 8.006 
2, 20, 2.183 
2, 80, 11.355 
0, 2500000, 21.696 
2, 10, 3.992 
2, 80, 18.768 
0, 8500000, 44.400 
1, 256, 8.100 
2, 20, 0.816 
1, 10, 20.701 
0, 5500000, 15.251 
0, 5500000, 86.062 
0, 1000000, 26.698 
1, 10, 37.482 
0, 7000000, 13.462 
0, 2500000, 27.619 
2, 10, 33.745 
0, 4000000, 11.430 
1, 1024, 165.408 
2, 10, 30.744 
0, 5500000, 42.898 
0, 4000000, 210.734 
1, 4096, 62.552 
